Ministry,Revenue_Cr,Capital_Cr,Total_Cr,Year,Grand_Total_Cr,Share_of_Budget_Pct
New & Renewable Energy,5432.84,40.0,5472.84,2017-18,2146734.78,0.25
New & Renewable Energy,5106.23,40.4,5146.63,2018-19,2442213.3,0.21
New & Renewable Energy,5209.83,45.0,5254.83,2019-20,2786349.45,0.19
New & Renewable Energy,5701.0,52.0,5753.0,2020-21,3042230.09,0.19
New & Renewable Energy,5743.0,10.0,5753.0,2021-22,3483235.63,0.17
New & Renewable Energy,6888.94,11.74,6900.68,2022-23,3944908.67,0.17
New & Renewable Energy,10210.35,11.65,10222.0,2023-24,4503097.45,0.23
New & Renewable Energy,19082.55,17.45,19100.0,2024-25,4820512.08,0.4
New & Renewable Energy,26542.18,7.2,26549.38,2025-26,5065345.04,0.52
New & Renewable Energy,32911.14,3.53,32914.67,2026-27,5347314.81,0.62
Panchayati Raj,790.79,0.0,790.79,2017-18,2146734.78,0.04
Panchayati Raj,825.17,0.0,825.17,2018-19,2442213.3,0.03
Panchayati Raj,871.37,0.0,871.37,2019-20,2786349.45,0.03
Panchayati Raj,900.94,0.0,900.94,2020-21,3042230.09,0.03
Panchayati Raj,913.43,0.0,913.43,2021-22,3483235.63,0.03
Panchayati Raj,868.57,0.0,868.57,2022-23,3944908.67,0.02
Panchayati Raj,993.27,23.15,1016.42,2023-24,4503097.45,0.02
Panchayati Raj,1161.2,22.44,1183.64,2024-25,4820512.08,0.02
Panchayati Raj,1170.9,14.1,1185.0,2025-26,5065345.04,0.02
Panchayati Raj,1186.88,3.28,1190.16,2026-27,5347314.81,0.02
Parliamentary Affairs,17.88,0.0,17.88,2017-18,2146734.78,0.0
Parliamentary Affairs,18.86,0.0,18.86,2018-19,2442213.3,0.0
Parliamentary Affairs,19.38,0.0,19.38,2019-20,2786349.45,0.0
Parliamentary Affairs,50.52,0.0,50.52,2020-21,3042230.09,0.0
Parliamentary Affairs,65.07,0.0,65.07,2021-22,3483235.63,0.0
Parliamentary Affairs,66.4,0.0,66.4,2022-23,3944908.67,0.0
Parliamentary Affairs,59.0,4.0,63.0,2023-24,4503097.45,0.0
Parliamentary Affairs,59.7,4.3,64.0,2024-25,4820512.08,0.0
Parliamentary Affairs,59.9,6.66,66.56,2025-26,5065345.04,0.0
Parliamentary Affairs,61.18,7.27,68.45,2026-27,5347314.81,0.0
"Personnel, PG & Pensions",1298.77,151.91,1450.68,2017-18,2146734.78,0.07
"Personnel, PG & Pensions",1475.58,84.03,1559.61,2018-19,2442213.3,0.06
"Personnel, PG & Pensions",1616.25,145.89,1762.14,2019-20,2786349.45,0.06
"Personnel, PG & Pensions",1645.28,148.26,1793.54,2020-21,3042230.09,0.06
"Personnel, PG & Pensions",1898.88,198.36,2097.24,2021-22,3483235.63,0.06
"Personnel, PG & Pensions",2153.84,225.3,2379.14,2022-23,3944908.67,0.06
"Personnel, PG & Pensions",1975.23,276.97,2252.2,2023-24,4503097.45,0.05
"Personnel, PG & Pensions",2102.32,277.55,2379.87,2024-25,4820512.08,0.05
"Personnel, PG & Pensions",2459.14,249.39,2708.53,2025-26,5065345.04,0.05
"Personnel, PG & Pensions",2507.22,154.79,2662.01,2026-27,5347314.81,0.05
Petroleum & Natural Gas,25310.37,3847.2,29157.57,2017-18,2146734.78,1.36
Petroleum & Natural Gas,27391.55,3709.0,31100.55,2018-19,2442213.3,1.27
Petroleum & Natural Gas,41234.18,1667.31,42901.49,2019-20,2786349.45,1.54
Petroleum & Natural Gas,41994.0,907.0,42901.0,2020-21,3042230.09,1.41
Petroleum & Natural Gas,15516.78,427.0,15943.78,2021-22,3483235.63,0.46
Petroleum & Natural Gas,8339.86,600.0,8939.86,2022-23,3944908.67,0.23
Petroleum & Natural Gas,5498.74,35508.98,41007.72,2023-24,4503097.45,0.91
Petroleum & Natural Gas,14801.29,1128.97,15930.26,2024-25,4820512.08,0.33
Petroleum & Natural Gas,12700.77,6626.13,19326.9,2025-26,5065345.04,0.38
Petroleum & Natural Gas,30204.77,238.45,30443.22,2026-27,5347314.81,0.57
Planning,252.09,0.43,252.52,2017-18,2146734.78,0.01
Planning,338.97,0.68,339.65,2018-19,2442213.3,0.01
Planning,582.29,1.11,583.4,2019-20,2786349.45,0.02
Planning,649.22,0.78,650.0,2020-21,3042230.09,0.02
Planning,1061.99,0.78,1062.77,2021-22,3483235.63,0.03
Planning,310.67,10.75,321.42,2022-23,3944908.67,0.01
Planning,805.73,18.66,824.39,2023-24,4503097.45,0.02
Planning,818.3,18.96,837.26,2024-25,4820512.08,0.02
Planning,972.35,33.71,1006.06,2025-26,5065345.04,0.02
Planning,1203.38,28.78,1232.16,2026-27,5347314.81,0.02
Power,10295.46,3585.68,13881.14,2017-18,2146734.78,0.65
Power,12835.47,2211.45,15046.92,2018-19,2442213.3,0.62
Power,13474.7,2400.12,15874.82,2019-20,2786349.45,0.57
Power,14792.54,1082.28,15874.82,2020-21,3042230.09,0.52
Power,13757.03,1564.97,15322.0,2021-22,3483235.63,0.44
Power,16061.63,13.11,16074.74,2022-23,3944908.67,0.41
Power,20654.52,16.8,20671.32,2023-24,4503097.45,0.46
Power,19415.5,1086.5,20502.0,2024-25,4820512.08,0.43
Power,21188.59,658.41,21847.0,2025-26,5065345.04,0.43
Power,29635.83,361.02,29996.85,2026-27,5347314.81,0.56
Railways,0.0,55000.0,55000.0,2017-18,2146734.78,2.56
Railways,2028.0,53060.0,55088.0,2018-19,2442213.3,2.26
Railways,2181.67,65837.0,68018.67,2019-20,2786349.45,2.44
Railways,2215.63,70000.0,72215.63,2020-21,3042230.09,2.37
Railways,2954.64,107100.0,110054.64,2021-22,3483235.63,3.16
Railways,3267.13,137100.0,140367.13,2022-23,3944908.67,3.56
Railways,1267.51,240000.0,241267.51,2023-24,4503097.45,5.36
Railways,3393.0,252000.0,255393.0,2024-25,4820512.08,5.3
